Open,High,Low,Close,Date,SRETURN
28018.68,28205.71,27921.34,28177.88,17-Nov-2014,0.004678632
28209.03,28282.85,28119.95,28163.29,18-Nov-2014,-0.000517782
28193.9,28294.01,27963.51,28032.85,19-Nov-2014,-0.004631561
28100.84,28118.53,27915.23,28067.56,20-Nov-2014,0.00123819
28100.1,28360.66,28038.4,28334.63,21-Nov-2014,0.009515255
28413.01,28541.96,28394.48,28499.54,24-Nov-2014,0.005820087
28520.76,28541.22,28217.5,28338.05,25-Nov-2014,-0.005666407
28321.58,28470.15,28261.31,28386.19,26-Nov-2014,0.001698776
28397.8,28498.3,28307.58,28438.91,27-Nov-2014,0.001857241
28490.71,28822.37,28483.99,28693.99,28-Nov-2014,0.008969401
28748.22,28809.64,28538.44,28559.62,01-Dec-2014,-0.004682862
28522.46,28576.39,28386.46,28444.01,02-Dec-2014,-0.004048023
28472.32,28504.65,28370.73,28442.71,03-Dec-2014,-4.57038E-05
28616.93,28808.78,28448.95,28562.82,04-Dec-2014,0.004222875
28604.5,28651.75,28409.05,28458.1,05-Dec-2014,-0.003666305
28433,28494.85,28097.12,28119.4,08-Dec-2014,-0.011901708
28134.22,28157.53,27763.82,27797.01,09-Dec-2014,-0.011465038
27711.96,27905.25,27710.03,27831.1,10-Dec-2014,0.001226391
27796.34,27796.34,27539.47,27602.01,11-Dec-2014,-0.008231439
27598.96,27692.32,27320.05,27350.68,12-Dec-2014,-0.009105496
27136.28,27392.18,27105.04,27319.56,15-Dec-2014,-0.001137814
27181.18,27199.37,26736.23,26781.44,16-Dec-2014,-0.019697243
26724.01,26871.91,26469.42,26710.13,17-Dec-2014,-0.002662665
27053.86,27180.92,26900.57,27126.57,18-Dec-2014,0.015591088
27292.55,27497.12,27292.14,27371.84,19-Dec-2014,0.009041689
27479.87,27725.27,27382.32,27701.79,22-Dec-2014,0.01205436
27733.12,27851.1,27475.13,27506.46,23-Dec-2014,-0.007051169
27530.26,27571.25,27146.52,27208.61,24-Dec-2014,-0.010828365
27215.19,27370.63,27091.38,27241.78,26-Dec-2014,0.001219099
27266.49,27507.25,27266.49,27395.73,29-Dec-2014,0.005651246
27478.3,27478.3,27312.29,27403.54,30-Dec-2014,0.000285081
27358.3,27527.24,27346,27499.42,31-Dec-2014,0.003498818
27485.77,27545.61,27395.34,27507.54,01-Jan-2015,0.000295279
27521.28,27937.47,27519.26,27887.9,02-Jan-2015,0.013827481
27978.43,28064.49,27786.85,27842.32,05-Jan-2015,-0.001634401
27694.23,27698.93,26937.06,26987.46,06-Jan-2015,-0.03070362
26983.43,27051.6,26776.12,26908.82,07-Jan-2015,-0.002913946
27178.77,27316.41,27101.94,27274.71,08-Jan-2015,0.0135974
27404.19,27507.67,27119.63,27458.38,09-Jan-2015,0.006734077
27523.86,27620.66,27323.74,27585.27,12-Jan-2015,0.004621176
27611.56,27670.19,27324.58,27425.73,13-Jan-2015,-0.005783521
27432.14,27512.8,27203.25,27346.82,14-Jan-2015,-0.002877225
27831.16,28194.61,27703.7,28075.55,15-Jan-2015,0.026647705
28056.61,28176.1,27945.31,28121.89,16-Jan-2015,0.001650546
28249.84,28334.06,28197.36,28262.01,19-Jan-2015,0.004982595
28324.85,28829.29,28324.85,28784.67,20-Jan-2015,0.018493377
28843.09,28958.1,28792.57,28888.86,21-Jan-2015,0.003619635
28957.79,29060.41,28892.23,29006.02,22-Jan-2015,0.004055543
29189.45,29408.73,29165.56,29278.84,23-Jan-2015,0.009405634
29451.65,29618.59,29286.09,29571.04,27-Jan-2015,0.009979904
29565.72,29786.32,29417.67,29559.18,28-Jan-2015,-0.000401068
29516.49,29740.63,29378.3,29681.77,29-Jan-2015,0.004147273
29801.6,29844.16,29070.48,29182.95,30-Jan-2015,-0.016805602
29143.63,29268.13,28958.52,29122.27,02-Feb-2015,-0.002079296
29217.4,29253.06,28900.41,29000.14,03-Feb-2015,-0.004193698
29129.85,29133.62,28824.68,28883.11,04-Feb-2015,-0.004035498
28912.38,29277.83,28753.29,28850.97,05-Feb-2015,-0.001112761
28892.21,28922.85,28647.14,28717.91,06-Feb-2015,-0.004611977
28566.5,28566.5,28183.32,28227.39,09-Feb-2015,-0.01708063
28122.48,28633.72,28044.49,28355.62,10-Feb-2015,0.004542751
28450.26,28618.91,28424.39,28533.97,11-Feb-2015,0.006289758
28650.25,28838.52,28406.25,28805.1,12-Feb-2015,0.009502008
28888.99,29154.67,28835.7,29094.93,13-Feb-2015,0.01006176
29170.77,29325.35,29083.4,29135.88,16-Feb-2015,0.001407462
29136.07,29411.32,29126.91,29320.26,18-Feb-2015,0.00632828
29434.91,29522.86,29108.15,29462.27,19-Feb-2015,0.004843409
29446.21,29462.09,29178.26,29231.41,20-Feb-2015,-0.007835785
29316.58,29362.96,28913.16,28975.11,23-Feb-2015,-0.008767966
29016.55,29130.67,28875.94,29004.66,24-Feb-2015,0.001019841
29115.32,29269.83,28967.61,29007.99,25-Feb-2015,0.000114809
29051.9,29069.13,28693.82,28746.65,26-Feb-2015,-0.009009242
28865.12,29254.02,28837.06,29220.12,27-Feb-2015,0.016470441
29411.33,29560.32,28882.02,29361.5,28-Feb-2015,0.004838447
29533.42,29576.32,29259.77,29459.14,02-Mar-2015,0.003325443
29500.19,29636.86,29364.87,29593.73,03-Mar-2015,0.004568701
29937.27,30024.74,29289.05,29380.73,04-Mar-2015,-0.007197471
29436.77,29518.32,29162.47,29448.95,05-Mar-2015,0.00232193
29316.54,29321.06,28799.76,28844.78,09-Mar-2015,-0.020515842
28924.06,28949.11,28584.49,28709.87,10-Mar-2015,-0.004677103
28725.75,28843.23,28608.18,28659.17,11-Mar-2015,-0.001765943
28798.61,28971.01,28772.71,28930.41,12-Mar-2015,0.009464335
29134.93,29183.76,28448.48,28503.3,13-Mar-2015,-0.014763358
28546.31,28581.82,28384.09,28437.71,16-Mar-2015,-0.002301137
28595,28784.35,28435.45,28736.38,17-Mar-2015,0.010502604
28766.87,28806.97,28546.76,28622.12,18-Mar-2015,-0.003976145
28805.22,28978.74,28411.7,28469.67,19-Mar-2015,-0.0053263
28465.44,28484.36,28209.66,28261.08,20-Mar-2015,-0.007326745
28317.29,28385.14,28163.9,28192.02,23-Mar-2015,-0.002443643
28209.33,28455.32,28130.09,28161.72,24-Mar-2015,-0.001074772
28216.09,28249.6,28031.42,28111.83,25-Mar-2015,-0.001771554
27937.62,27997.14,27384.87,27457.58,26-Mar-2015,-0.02327312
27649.78,27694.41,27248.45,27458.64,27-Mar-2015,3.8605E-05
27655.79,28017.97,27624.76,27975.86,30-Mar-2015,0.01883633
28069.85,28180.64,27868.21,27957.49,31-Mar-2015,-0.000656638
27954.86,28298.34,27889.02,28260.14,01-Apr-2015,0.010825364
28351.94,28530.81,28221.99,28504.46,06-Apr-2015,0.008645392
28582.33,28641.08,28274.36,28516.59,07-Apr-2015,0.000425547
28601.49,28763.06,28566.61,28707.75,08-Apr-2015,0.006703466
28858.42,28906.71,28622.44,28885.21,09-Apr-2015,0.006181606
28889.27,28907.81,28756.75,28879.38,10-Apr-2015,-0.000201833
28955.13,29072.51,28843.94,29044.44,13-Apr-2015,0.005715497
29087.25,29094.61,28721.63,28799.69,15-Apr-2015,-0.008426742
28876.23,28876.23,28497.7,28666.04,16-Apr-2015,-0.004640675
28682.97,28696.19,28403.76,28442.1,17-Apr-2015,-0.007812031
28525.65,28539.46,27802.37,27886.21,20-Apr-2015,-0.019544619
27860.51,27976.93,27598.21,27676.04,21-Apr-2015,-0.0075367
27756.68,27947.26,27385.48,27890.13,22-Apr-2015,0.007735572
27977.27,28087.78,27621.18,27735.02,23-Apr-2015,-0.005561466
27804.58,27829.11,27344.7,27437.94,24-Apr-2015,-0.010711368
27565.49,27567.28,27141.55,27176.99,27-Apr-2015,-0.009510554
27215.61,27482.14,27073.25,27396.38,28-Apr-2015,0.008072638
27395.71,27438.96,27176.54,27225.93,29-Apr-2015,-0.006221625
27242.05,27242.05,26897.54,27011.31,30-Apr-2015,-0.007882926
27204.63,27537.85,27159.45,27490.59,04-May-2015,0.017743678
27561.32,27603.71,27338.23,27440.14,05-May-2015,-0.001835173
27473.36,27501.15,26677.64,26717.37,06-May-2015,-0.02633988
26721.34,26850.37,26423.99,26599.11,07-May-2015,-0.004426334
26814.38,27196.28,26814.38,27105.39,08-May-2015,0.01903372
27249.42,27544.24,27231.28,27507.3,11-May-2015,0.014827678
27502.91,27502.91,26837.39,26877.48,12-May-2015,-0.022896467
